The DAMSL tags with their training-set counts as reported in the Coders' Manual and the counts for the full corpus as calculated by damsl_act_tag().	name	act_tag	example	train_count	full_count	Reduced	
1	Statement-non-opinion	sd	Me, I'm in the legal department.	72824	75145	Statement-non-opinion	
2	Acknowledge (Backchannel)	b	Uh-huh.	37096	38298	Response Acknowledgement	positive-affirmation
3	Statement-opinion	sv	I think it's great	25197	26428	Statement-opinion	
4	Agree/Accept	aa	That's exactly it.	10820	11133		positive-affirmation
5	Abandoned or Turn-Exit	%	So, -	10569	15550		
6	Appreciation	ba	I can imagine.	4633	4765		positive-affirmation
7	Yes-No-Question	qy	Do you have to have any special training?	4624	4727	Yes-No-Question	
8	Non-verbal	x	[Laughter], [Throat_clearing]	3548	3630		
9	Yes answers	ny	Yes.	2934	3034	Yes answers	positive-affirmation
10	Conventional-closing	fc	Well, it's been nice talking to you.	2486	2582	Conventional-closing	
11	Uninterpretable	%	But, uh, yeah	2158	15550		
12	Wh-Question	qw	Well, how old are you?	1911	1979	Wh-Question	
13	No answers	nn	No.	1340	1377	No answers	negative-affirmation
14	Response Acknowledgement	bk	Oh, okay.	1277	1306	Response Acknowledgement	positive-affirmation
15	Hedge	h	I don't know if I'm making any sense or not.	1182	1226		
16	Declarative Yes-No-Question	qy^d	So you can afford to get a house?	1174	1219	Declarative Yes-No-Question	
17	Other	fo_o_fw_by_bc	Well give me a break, you know.	1074	883		
18	Backchannel in question form	bh	Is that right?	1019	1053	Backchannel in question form	
19	Quotation	^q	You can't be pregnant and have cats	934	983		
20	Summarize/reformulate	bf	Oh, you mean you switched schools for the kids.	919	952	Statement-non-opinion	
21	Affirmative non-yes answers	na	It is.	836	847	Statement-non-opinion	
22	Action-directive	ad	Why don't you go first	719	746		
23	Collaborative Completion	^2	Who aren't contributing.	699	723		
24	Repeat-phrase	b^m	Oh, fajitas	660	688		
25	Open-Question	qo	How about you?	632	656	Wh-Question	
26	Rhetorical-Questions	qh	Who would steal a newspaper?	557	575	Wh-Question	
27	Hold before answer/agreement	^h	I'm drawing a blank.	540	556	Statement-non-opinion	
28	Reject	ar	Well, no	338	346	No answers	negative-affirmation
29	Negative non-no answers	ng	Uh, not a whole lot.	292	302		negative-affirmation
30	Signal-non-understanding	br	Excuse me?	288	298	Signal-non-understanding	
31	Other answers	no	I don't know	279	286		
32	Conventional-opening	fp	How are you?	220	225	Conventional-opening	
33	Or-Clause	qrr	or is it more of a company?	207	209		
34	Dispreferred answers	arp_nd	Well, not so much that.	205	207		
35	3rd-party-talk	t3	My goodness, Diane, get down from there.	115	117		
36	Offers, Options, Commits	oo_co_cc	I'll have to check that out	109	110		
37	Self-talk	t1	What's the word I'm looking for	102	103		
38	Downplayer	bd	That's all right.	100	103	Statement-opinion	
39	Maybe/Accept-part	aap_am	Something like that	98	105		
40	Tag-Question	^g	Right?	93	92	Tag-Question	
41	Declarative Wh-Question	qw^d	You are what kind of buff?	80	80		
42	Apology	fa	I'm sorry.	76	79	Apology	
43	Thanking	ft	Hey thanks a lot	67	78	Thanking	